SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP21,G1,P15,"2021-01-13 00:00:00",2135,179,165
SP07,G4,P13,"2021-01-13 00:00:00",2121,130,89
SP12,G6,P01,"2021-01-14 00:00:00",6881,10,222
SP24,G4,P07,"2021-01-14 00:00:00",1239,97,50
SP16,G5,P05,"2021-01-14 00:00:00",3598,365,257
SP18,G3,P20,"2021-01-14 00:00:00",6580,210,347
SP08,G6,P10,"2021-01-14 00:00:00",1127,97,54
SP22,G1,P22,"2021-01-14 00:00:00",3605,345,139
SP09,G4,P11,"2021-01-14 00:00:00",5096,201,196
SP25,G2,P08,"2021-01-14 00:00:00",2135,183,98
SP13,G2,P04,"2021-01-14 00:00:00",35,142,3
SP11,G1,P19,"2021-01-14 00:00:00",13090,17,935
SP05,G6,P20,"2021-01-14 00:00:00",15785,209,1128
SP20,G5,P12,"2021-01-14 00:00:00",14574,86,810
SP11,G4,P17,"2021-01-14 00:00:00",3556,195,143
SP02,G2,P12,"2021-01-14 00:00:00",14532,142,969
SP23,G4,P17,"2021-01-14 00:00:00",4445,340,159
SP17,G2,P01,"2021-01-14 00:00:00",10339,207,357
SP03,G4,P11,"2021-01-14 00:00:00",1351,282,55
SP02,G4,P15,"2021-01-14 00:00:00",4011,260,335
SP17,G6,P12,"2021-01-14 00:00:00",5306,333,483
SP24,G2,P11,"2021-01-14 00:00:00",18704,78,585
SP21,G3,P20,"2021-01-14 00:00:00",9310,62,582
SP04,G4,P06,"2021-01-14 00:00:00",1211,37,61
SP09,G3,P04,"2021-01-15 00:00:00",3094,317,148
SP17,G4,P04,"2021-01-15 00:00:00",4949,244,248
SP06,G4,P08,"2021-01-15 00:00:00",308,91,19
SP11,G1,P17,"2021-01-15 00:00:00",7546,49,329
SP12,G2,P13,"2021-01-15 00:00:00",6713,422,373
SP14,G4,P17,"2021-01-15 00:00:00",6895,318,300
SP02,G4,P05,"2021-01-15 00:00:00",3430,120,202
SP21,G4,P14,"2021-01-18 00:00:00",4165,61,348
SP25,G1,P03,"2021-01-18 00:00:00",2380,209,159
SP03,G6,P14,"2021-01-18 00:00:00",6594,114,413
SP04,G5,P04,"2021-01-18 00:00:00",1428,55,76
SP19,G5,P07,"2021-01-18 00:00:00",2646,150,116
SP10,G1,P01,"2021-01-18 00:00:00",238,364,11
SP24,G5,P04,"2021-01-18 00:00:00",945,298,50
SP11,G6,P10,"2021-01-18 00:00:00",9436,102,337
SP17,G2,P10,"2021-01-18 00:00:00",4081,116,152
SP04,G2,P08,"2021-01-18 00:00:00",10556,25,587
SP01,G2,P14,"2021-01-18 00:00:00",2331,38,167
SP11,G3,P16,"2021-01-19 00:00:00",896,346,32
SP20,G1,P18,"2021-01-19 00:00:00",4214,314,169
SP20,G3,P09,"2021-01-19 00:00:00",2121,90,177
SP23,G1,P13,"2021-01-19 00:00:00",1029,386,47
SP08,G1,P05,"2021-01-19 00:00:00",15407,103,771
SP03,G4,P17,"2021-01-19 00:00:00",10129,134,406
SP13,G2,P20,"2021-01-19 00:00:00",16380,203,1092
SP24,G1,P14,"2021-01-19 00:00:00",3899,102,279
SP05,G3,P10,"2021-01-19 00:00:00",12075,264,432
SP11,G2,P18,"2021-01-19 00:00:00",10696,115,428
SP19,G2,P03,"2021-01-19 00:00:00",4039,436,238
SP18,G1,P22,"2021-01-19 00:00:00",5250,410,202
SP21,G1,P08,"2021-01-19 00:00:00",8113,25,508
SP08,G6,P06,"2021-01-19 00:00:00",161,95,10
SP07,G6,P10,"2021-01-19 00:00:00",8218,205,294
SP06,G5,P15,"2021-01-19 00:00:00",742,80,53
SP03,G2,P11,"2021-01-19 00:00:00",3087,193,111
SP08,G1,P18,"2021-01-19 00:00:00",5110,131,155
SP04,G4,P04,"2021-01-19 00:00:00",5873,164,267
SP11,G6,P05,"2021-01-19 00:00:00",4641,301,357
SP04,G4,P22,"2021-01-20 00:00:00",1155,34,45
SP10,G6,P02,"2021-01-20 00:00:00",784,247,49
SP25,G4,P05,"2021-01-20 00:00:00",5369,16,384
SP10,G3,P06,"2021-01-20 00:00:00",343,338,18
SP10,G6,P19,"2021-01-20 00:00:00",7007,38,584
SP15,G1,P15,"2021-01-20 00:00:00",126,127,13
SP16,G1,P08,"2021-01-20 00:00:00",3073,57,134
SP19,G4,P21,"2021-01-21 00:00:00",7805,86,488
SP09,G6,P11,"2021-01-21 00:00:00",3087,14,124
SP13,G4,P21,"2021-01-21 00:00:00",9030,85,452
SP04,G2,P20,"2021-01-21 00:00:00",7805,6,411
SP18,G1,P11,"2021-01-21 00:00:00",6979,38,233
SP19,G1,P07,"2021-01-21 00:00:00",11284,39,513
SP17,G5,P01,"2021-01-21 00:00:00",2408,106,90
SP03,G6,P02,"2021-01-21 00:00:00",5299,86,332
SP10,G6,P16,"2021-01-21 00:00:00",6293,158,234
SP08,G5,P03,"2021-01-21 00:00:00",280,408,17
SP05,G1,P13,"2021-01-21 00:00:00",644,483,30
SP07,G5,P21,"2021-01-21 00:00:00",2191,65,110
SP16,G4,P21,"2021-01-21 00:00:00",427,267,26
SP14,G3,P20,"2021-01-21 00:00:00",5537,346,426
SP18,G5,P08,"2021-01-21 00:00:00",742,264,31
SP23,G3,P13,"2021-01-21 00:00:00",4200,457,248
SP08,G6,P15,"2021-01-21 00:00:00",5299,203,442
SP08,G2,P17,"2021-01-21 00:00:00",3829,286,160
SP20,G4,P18,"2021-01-21 00:00:00",5747,70,192
SP06,G4,P13,"2021-01-21 00:00:00",2345,199,147
SP12,G4,P09,"2021-01-22 00:00:00",4312,181,616
SP25,G4,P13,"2021-01-22 00:00:00",1358,68,68
SP01,G2,P09,"2021-01-22 00:00:00",13146,85,1644
SP05,G5,P14,"2021-01-22 00:00:00",12047,295,927
SP08,G3,P20,"2021-01-22 00:00:00",5971,44,460
SP16,G4,P02,"2021-01-22 00:00:00",3038,280,254
SP20,G6,P16,"2021-01-22 00:00:00",8022,167,268
SP16,G3,P15,"2021-01-22 00:00:00",2226,1,248
SP10,G3,P17,"2021-01-22 00:00:00",2366,470,79
SP24,G5,P02,"2021-01-22 00:00:00",8386,194,599
SP03,G3,P16,"2021-01-22 00:00:00",13230,261,576
SP17,G6,P03,"2021-01-22 00:00:00",1771,151,111
SP13,G6,P04,"2021-01-22 00:00:00",3416,458,228
SP17,G6,P13,"2021-01-22 00:00:00",15197,11,634
SP08,G4,P15,"2021-01-22 00:00:00",5971,59,498
SP02,G6,P09,"2021-01-22 00:00:00",13335,227,1667
SP23,G3,P21,"2021-01-22 00:00:00",4613,54,210
SP12,G1,P12,"2021-01-22 00:00:00",10430,110,580
SP20,G2,P03,"2021-01-22 00:00:00",168,94,10
SP25,G6,P08,"2021-01-22 00:00:00",4606,256,192
SP11,G6,P14,"2021-01-22 00:00:00",1491,193,136
SP02,G1,P08,"2021-01-25 00:00:00",12194,302,509
SP12,G6,P04,"2021-01-25 00:00:00",10122,206,533
SP09,G5,P08,"2021-01-25 00:00:00",1841,164,88
SP16,G6,P09,"2021-01-25 00:00:00",6958,337,580
SP07,G1,P08,"2021-01-25 00:00:00",749,323,35
SP16,G6,P04,"2021-01-25 00:00:00",3507,48,195
SP17,G4,P15,"2021-01-25 00:00:00",7294,122,562
SP10,G1,P12,"2021-01-25 00:00:00",5040,219,420
SP10,G1,P16,"2021-01-25 00:00:00",3913,257,157
SP09,G2,P02,"2021-01-25 00:00:00",3598,101,300
SP19,G2,P10,"2021-01-25 00:00:00",8911,302,319
SP08,G4,P22,"2021-01-25 00:00:00",42,35,2
SP13,G1,P21,"2021-01-25 00:00:00",2282,222,109
SP23,G3,P08,"2021-01-25 00:00:00",12964,242,541
SP09,G3,P20,"2021-01-25 00:00:00",5775,219,361
SP16,G4,P10,"2021-01-25 00:00:00",10787,100,400
SP20,G5,P21,"2021-01-25 00:00:00",6342,115,374
SP14,G1,P22,"2021-01-25 00:00:00",11564,46,463
SP03,G2,P04,"2021-01-25 00:00:00",2793,37,156
SP18,G3,P19,"2021-01-25 00:00:00",1603,81,134
SP06,G5,P03,"2021-01-25 00:00:00",3052,357,180
SP12,G3,P21,"2021-01-25 00:00:00",1659,82,83
SP01,G4,P05,"2021-01-25 00:00:00",3143,82,210
SP02,G2,P21,"2021-01-25 00:00:00",12782,212,609
SP21,G4,P19,"2021-01-25 00:00:00",343,313,32
SP10,G4,P14,"2021-01-25 00:00:00",1785,216,138
SP10,G3,P09,"2021-01-25 00:00:00",4914,46,615
SP18,G6,P14,"2021-01-26 00:00:00",1869,242,208
SP04,G1,P10,"2021-01-26 00:00:00",8512,173,387
SP23,G6,P09,"2021-01-26 00:00:00",9296,1,716
SP20,G5,P07,"2021-01-26 00:00:00",6034,229,263
SP22,G1,P11,"2021-01-26 00:00:00",9471,166,365
SP15,G1,P22,"2021-01-26 00:00:00",3815,146,166
SP01,G4,P06,"2021-01-26 00:00:00",9485,140,527
SP16,G2,P16,"2021-01-26 00:00:00",3549,78,132
SP04,G6,P09,"2021-01-26 00:00:00",1512,61,117
SP13,G3,P16,"2021-01-26 00:00:00",2296,113,96
SP11,G1,P01,"2021-01-27 00:00:00",17402,43,697
SP15,G6,P12,"2021-01-27 00:00:00",11816,160,844
SP17,G4,P16,"2021-01-27 00:00:00",10612,232,425
SP01,G2,P01,"2021-01-27 00:00:00",5558,263,192
SP21,G6,P04,"2021-01-27 00:00:00",14056,148,781
SP09,G2,P16,"2021-01-27 00:00:00",5131,171,166
SP16,G2,P08,"2021-01-27 00:00:00",1477,352,87
SP06,G5,P04,"2021-01-27 00:00:00",7686,72,549
SP23,G6,P13,"2021-01-27 00:00:00",8722,35,460
SP08,G6,P16,"2021-01-27 00:00:00",6370,35,206
SP03,G6,P13,"2021-01-27 00:00:00",4074,208,240
SP24,G4,P11,"2021-01-27 00:00:00",1309,97,51
SP07,G5,P20,"2021-01-27 00:00:00",4991,137,357
SP04,G3,P22,"2021-01-27 00:00:00",6965,91,367
SP15,G5,P18,"2021-01-27 00:00:00",10199,497,408
SP12,G4,P21,"2021-01-27 00:00:00",7392,9,390
SP01,G4,P12,"2021-01-27 00:00:00",5880,71,392
SP04,G2,P11,"2021-01-27 00:00:00",5950,25,238
SP14,G2,P16,"2021-01-27 00:00:00",10395,57,336
SP22,G1,P07,"2021-01-27 00:00:00",6174,33,247
SP04,G4,P19,"2021-01-27 00:00:00",15239,170,1524
SP21,G3,P09,"2021-01-27 00:00:00",2219,145,247
SP17,G4,P19,"2021-01-27 00:00:00",3150,70,243
SP17,G6,P15,"2021-01-27 00:00:00",2968,216,212
SP02,G3,P05,"2021-01-27 00:00:00",3241,199,163
SP15,G3,P07,"2021-01-27 00:00:00",3605,120,151
SP20,G3,P08,"2021-01-28 00:00:00",3640,169,174
SP11,G3,P08,"2021-01-28 00:00:00",1309,294,77
SP13,G1,P06,"2021-01-28 00:00:00",10346,131,739
SP15,G3,P04,"2021-01-28 00:00:00",1071,359,54
SP11,G6,P19,"2021-01-28 00:00:00",6328,119,791
SP07,G3,P11,"2021-01-28 00:00:00",1820,143,68
SP09,G1,P21,"2021-01-28 00:00:00",3437,179,157
SP17,G6,P14,"2021-01-28 00:00:00",4550,214,455
SP01,G3,P07,"2021-01-28 00:00:00",2968,259,110
SP14,G2,P06,"2021-01-28 00:00:00",12565,4,898
SP17,G3,P01,"2021-01-28 00:00:00",8246,294,318
SP09,G1,P05,"2021-01-28 00:00:00",1190,137,70
SP24,G4,P06,"2021-01-28 00:00:00",3283,146,183
SP08,G5,P18,"2021-01-28 00:00:00",3087,300,115
SP20,G1,P21,"2021-01-28 00:00:00",6531,244,297
SP16,G2,P14,"2021-01-28 00:00:00",4228,55,249
SP24,G2,P17,"2021-01-28 00:00:00",10094,118,389
SP21,G4,P01,"2021-01-28 00:00:00",182,46,6
SP22,G4,P14,"2021-01-28 00:00:00",616,151,37
SP24,G2,P20,"2021-01-29 00:00:00",12131,121,809
SP07,G2,P07,"2021-01-29 00:00:00",2394,323,93
SP12,G1,P14,"2021-01-29 00:00:00",14287,89,841
SP11,G4,P03,"2021-01-29 00:00:00",10941,185,730
SP24,G6,P07,"2021-01-29 00:00:00",7777,345,260
SP06,G3,P09,"2021-01-29 00:00:00",9436,7,858
SP07,G3,P12,"2021-01-29 00:00:00",1267,104,116
SP07,G2,P11,"2021-01-29 00:00:00",8806,32,327
SP06,G6,P21,"2021-01-29 00:00:00",3640,403,243
SP07,G6,P17,"2021-01-29 00:00:00",4900,239,182
SP18,G5,P14,"2021-01-29 00:00:00",5558,219,348
SP25,G4,P03,"2021-01-29 00:00:00",9142,1,436
SP02,G6,P05,"2021-01-29 00:00:00",3514,143,235
SP19,G3,P02,"2021-01-29 00:00:00",140,91,10
SP15,G6,P10,"2021-02-01 00:00:00",11844,211,439
SP03,G4,P01,"2021-02-01 00:00:00",6517,54,233
SP07,G1,P01,"2021-02-01 00:00:00",8715,24,282
SP05,G1,P16,"2021-02-01 00:00:00",4851,455,180
SP01,G2,P16,"2021-02-01 00:00:00",10983,185,379
SP21,G5,P15,"2021-02-01 00:00:00",3290,75,329
SP11,G5,P16,"2021-02-01 00:00:00",6545,86,212
SP03,G3,P19,"2021-02-01 00:00:00",441,7,45
SP14,G1,P21,"2021-02-01 00:00:00",9849,75,580
SP09,G4,P14,"2021-02-01 00:00:00",3073,9,308
SP17,G2,P16,"2021-02-01 00:00:00",4452,75,149
SP12,G3,P13,"2021-02-01 00:00:00",10220,105,538
SP09,G6,P19,"2021-02-01 00:00:00",3150,11,210
SP07,G2,P20,"2021-02-01 00:00:00",6083,43,381
SP08,G6,P12,"2021-02-01 00:00:00",14063,140,1407
SP07,G6,P19,"2021-02-01 00:00:00",4578,256,306
SP19,G1,P14,"2021-02-01 00:00:00",6454,21,461
SP15,G2,P18,"2021-02-02 00:00:00",6650,166,256
SP01,G1,P22,"2021-02-02 00:00:00",2436,203,94
SP21,G4,P21,"2021-02-02 00:00:00",6944,33,331
SP05,G1,P11,"2021-02-02 00:00:00",19817,126,684
SP01,G1,P02,"2021-02-02 00:00:00",3521,50,235
SP12,G2,P11,"2021-02-02 00:00:00",10458,546,327
SP24,G4,P08,"2021-02-02 00:00:00",1302,401,57
SP10,G5,P11,"2021-02-02 00:00:00",7952,221,249
SP13,G5,P06,"2021-02-02 00:00:00",4753,133,265
SP11,G1,P13,"2021-02-02 00:00:00",11452,81,546
SP03,G1,P10,"2021-02-02 00:00:00",9345,124,390
SP16,G1,P05,"2021-02-02 00:00:00",7490,172,357
SP25,G1,P16,"2021-02-02 00:00:00",1519,127,57
SP09,G6,P20,"2021-02-02 00:00:00",3087,135,155
SP06,G6,P20,"2021-02-02 00:00:00",2352,178,168
SP17,G3,P15,"2021-02-02 00:00:00",11578,76,891
SP11,G2,P22,"2021-02-02 00:00:00",462,223,22
SP24,G1,P17,"2021-02-03 00:00:00",6916,32,315
SP11,G1,P09,"2021-02-03 00:00:00",3248,101,542
SP25,G3,P01,"2021-02-03 00:00:00",6475,431,240
SP23,G6,P22,"2021-02-03 00:00:00",9009,129,501
SP17,G3,P14,"2021-02-03 00:00:00",2835,20,189
SP14,G1,P01,"2021-02-03 00:00:00",7644,77,294
SP19,G6,P19,"2021-02-03 00:00:00",3360,48,240
SP19,G2,P05,"2021-02-03 00:00:00",1379,246,99
SP22,G2,P16,"2021-02-03 00:00:00",9534,229,382
SP17,G2,P22,"2021-02-03 00:00:00",14448,28,657
SP24,G2,P15,"2021-02-03 00:00:00",3829,432,240
SP03,G4,P09,"2021-02-04 00:00:00",9086,206,758
SP15,G3,P01,"2021-02-04 00:00:00",5803,299,194
SP25,G6,P18,"2021-02-04 00:00:00",182,36,7
SP18,G6,P13,"2021-02-04 00:00:00",9863,21,520
SP06,G4,P09,"2021-02-04 00:00:00",4046,80,289
SP09,G6,P12,"2021-02-04 00:00:00",3493,140,350
SP13,G3,P03,"2021-02-04 00:00:00",392,89,18
SP05,G1,P10,"2021-02-04 00:00:00",2534,19,111
SP22,G6,P13,"2021-02-04 00:00:00",7084,6,308
SP05,G6,P09,"2021-02-04 00:00:00",4809,70,344
SP16,G3,P07,"2021-02-04 00:00:00",7959,273,266
SP15,G3,P08,"2021-02-04 00:00:00",10521,231,527
SP15,G3,P12,"2021-02-04 00:00:00",56,168,5
SP19,G6,P15,"2021-02-04 00:00:00",3017,103,189
SP12,G1,P09,"2021-02-04 00:00:00",18949,300,2707
SP24,G6,P01,"2021-02-04 00:00:00",8764,69,338
SP14,G1,P04,"2021-02-04 00:00:00",12201,103,643
SP20,G2,P10,"2021-02-04 00:00:00",11935,189,460
SP01,G2,P20,"2021-02-04 00:00:00",3724,322,266
SP23,G3,P06,"2021-02-04 00:00:00",2646,70,166
SP03,G1,P14,"2021-02-04 00:00:00",686,18,46
SP12,G5,P20,"2021-02-04 00:00:00",2037,272,128
SP23,G1,P21,"2021-02-04 00:00:00",6300,208,300
SP11,G3,P22,"2021-02-04 00:00:00",2541,14,111
SP04,G1,P04,"2021-02-04 00:00:00",1883,97,118
SP08,G1,P10,"2021-02-04 00:00:00",10255,180,446
SP22,G6,P11,"2021-02-05 00:00:00",5803,98,233
SP09,G1,P02,"2021-02-05 00:00:00",8260,239,1033
SP24,G1,P15,"2021-02-05 00:00:00",14868,5,1859
SP03,G2,P06,"2021-02-05 00:00:00",4137,10,276
SP10,G6,P11,"2021-02-05 00:00:00",7161,480,276
SP24,G2,P07,"2021-02-05 00:00:00",9625,149,332
SP19,G3,P16,"2021-02-05 00:00:00",12852,296,429
SP18,G3,P06,"2021-02-05 00:00:00",7546,365,581
SP19,G2,P06,"2021-02-05 00:00:00",4123,104,275
SP21,G1,P16,"2021-02-05 00:00:00",13174,78,573
SP17,G2,P02,"2021-02-05 00:00:00",7637,161,546
SP18,G2,P15,"2021-02-05 00:00:00",3311,128,332
SP21,G1,P04,"2021-02-05 00:00:00",2338,52,107
SP06,G1,P17,"2021-02-08 00:00:00",3465,228,139
SP17,G5,P22,"2021-02-08 00:00:00",2345,435,107
SP18,G3,P16,"2021-02-08 00:00:00",12698,53,471
SP01,G4,P13,"2021-02-08 00:00:00",6678,24,334
SP12,G3,P15,"2021-02-08 00:00:00",4851,120,324
SP08,G4,P07,"2021-02-08 00:00:00",336,164,12
SP12,G3,P09,"2021-02-08 00:00:00",2366,8,198
SP08,G2,P08,"2021-02-08 00:00:00",10598,226,461
SP01,G1,P20,"2021-02-08 00:00:00",13293,199,665
SP23,G5,P02,"2021-02-08 00:00:00",2086,90,261
SP04,G5,P22,"2021-02-08 00:00:00",2751,133,120
SP02,G3,P10,"2021-02-08 00:00:00",5481,283,275
SP09,G2,P20,"2021-02-08 00:00:00",5628,11,433
